dt,Hr,Entry Fee,Seats,Rake Percent,Rake,Users,Wager
"July 1, 2018",13,500,6,12.00%,3960,36,33000
"July 1, 2018",13,1000,6,10.00%,30300,129,279000
"July 1, 2018",13,3000,2,10.00%,1800,6,18000
"July 1, 2018",13,10000,2,6.00%,36000,18,600000
"July 1, 2018",14,10,2,15.00%,207,90,1380
"July 1, 2018",14,10,6,15.00%,1104,432,6870
"July 1, 2018",14,25,2,15.00%,180,42,1200
"July 1, 2018",14,25,6,15.00%,2925,486,17775
"July 1, 2018",14,50,2,15.00%,90,12,600
"July 1, 2018",14,50,6,15.00%,3399,255,22050
"July 1, 2018",14,100,2,15.00%,180,9,1200
"July 1, 2018",14,100,6,15.00%,6345,261,40200
"July 1, 2018",14,250,6,15.00%,9900,153,58500
"July 1, 2018",14,500,6,12.00%,5580,51,45000
"July 1, 2018",14,1000,6,10.00%,23700,129,228000
"July 1, 2018",14,3000,2,10.00%,1800,6,18000
"July 1, 2018",14,3000,6,10.00%,25200,39,234000
"July 1, 2018",14,10000,2,6.00%,18000,21,300000
"July 1, 2018",15,10,2,15.00%,216,66,1440
"July 1, 2018",15,10,6,15.00%,1188,486,7440
"July 1, 2018",15,25,2,15.00%,429,57,2850
"July 1, 2018",15,25,6,15.00%,3048,471,18675
"July 1, 2018",15,50,2,15.00%,135,12,900
"July 1, 2018",15,50,6,15.00%,3375,246,21300
"July 1, 2018",15,100,6,15.00%,7965,297,48600
"July 1, 2018",15,250,6,15.00%,10239,156,65250
"July 1, 2018",15,500,6,12.00%,2880,36,22500
"July 1, 2018",15,1000,6,10.00%,36300,168,345000
"July 1, 2018",15,3000,2,10.00%,9000,21,90000
"July 1, 2018",15,3000,6,10.00%,16200,36,162000
"July 1, 2018",15,10000,2,6.00%,25200,21,420000
"July 1, 2018",16,10,2,15.00%,162,69,1080
"July 1, 2018",16,10,6,15.00%,1269,498,8040
"July 1, 2018",16,25,2,15.00%,474,78,3150
"July 1, 2018",16,25,6,15.00%,2823,393,17175
"July 1, 2018",16,50,2,15.00%,90,12,600
"July 1, 2018",16,50,6,15.00%,2904,255,18450
"July 1, 2018",16,100,2,15.00%,180,9,1200
"July 1, 2018",16,100,6,15.00%,7875,297,48900
"July 1, 2018",16,250,6,15.00%,12264,171,78000
"July 1, 2018",16,500,6,12.00%,7200,78,58500
"July 1, 2018",16,1000,6,10.00%,38400,153,363000
"July 1, 2018",16,3000,2,10.00%,7200,9,72000
"July 1, 2018",16,3000,6,10.00%,15300,27,144000
"July 1, 2018",16,5000,2,8.00%,7200,6,90000
"July 1, 2018",16,10000,2,6.00%,14400,12,240000
"July 1, 2018",17,10,2,15.00%,135,57,900
"July 1, 2018",17,10,6,15.00%,1077,423,6750
"July 1, 2018",17,25,2,15.00%,405,60,2700
"July 1, 2018",17,25,6,15.00%,2184,342,13500
"July 1, 2018",17,50,2,15.00%,270,24,1800
"July 1, 2018",17,50,6,15.00%,2004,207,12900
"July 1, 2018",17,100,2,15.00%,90,6,600
"July 1, 2018",17,100,6,15.00%,6300,270,38700
"July 1, 2018",17,250,6,15.00%,8775,141,56250
"July 1, 2018",17,500,6,12.00%,3060,45,25500
"July 1, 2018",17,1000,6,10.00%,36300,153,351000
"July 1, 2018",17,3000,6,10.00%,25200,36,234000
"July 1, 2018",17,5000,2,8.00%,4800,9,60000
"July 1, 2018",17,10000,2,6.00%,18000,18,300000
"July 1, 2018",18,10,2,15.00%,108,39,720
"July 1, 2018",18,10,6,15.00%,1044,426,6630
"July 1, 2018",18,25,2,15.00%,339,51,2250
"July 1, 2018",18,25,6,15.00%,2409,381,15225
"July 1, 2018",18,50,2,15.00%,180,18,1200
"July 1, 2018",18,50,6,15.00%,1914,174,12150
"July 1, 2018",18,100,2,15.00%,270,6,1800
"July 1, 2018",18,100,6,15.00%,6570,249,40800
"July 1, 2018",18,250,6,15.00%,6864,102,43500
"July 1, 2018",18,500,6,12.00%,1260,21,10500
"July 1, 2018",18,1000,6,10.00%,30300,144,276000
"July 1, 2018",18,3000,6,10.00%,27000,48,252000
"July 1, 2018",18,5000,2,8.00%,4800,9,60000
"July 1, 2018",18,10000,2,6.00%,10800,12,180000
"July 1, 2018",19,10,2,15.00%,162,63,1080
"July 1, 2018",19,10,6,15.00%,960,372,6180
"July 1, 2018",19,25,2,15.00%,339,51,2250
"July 1, 2018",19,25,6,15.00%,2733,432,16950
"July 1, 2018",19,50,2,15.00%,45,6,300
"July 1, 2018",19,50,6,15.00%,1914,177,12150
"July 1, 2018",19,100,6,15.00%,7515,285,46500
"July 1, 2018",19,250,6,15.00%,7539,117,47250
"July 1, 2018",19,500,6,12.00%,3240,36,25500
"July 1, 2018",19,1000,6,10.00%,29400,132,285000
"July 1, 2018",19,3000,2,10.00%,1800,6,18000
"July 1, 2018",19,3000,6,10.00%,27900,42,261000
"July 1, 2018",19,10000,2,6.00%,25200,12,420000
"July 1, 2018",20,10,2,15.00%,117,57,780
"July 1, 2018",20,10,6,15.00%,1176,483,7260
"July 1, 2018",20,25,2,15.00%,339,60,2250
"July 1, 2018",20,25,6,15.00%,2148,372,13275
"July 1, 2018",20,50,6,15.00%,2724,234,17250
"July 1, 2018",20,100,2,15.00%,360,9,2400
"July 1, 2018",20,100,6,15.00%,8550,318,51900
"July 1, 2018",20,250,6,15.00%,5850,90,36000
"July 1, 2018",20,500,6,12.00%,4680,48,31500
"July 1, 2018",20,1000,2,10.00%,1200,9,12000
"July 1, 2018",20,1000,6,10.00%,34200,126,318000
"July 1, 2018",20,2000,2,10.00%,1200,6,12000
"July 1, 2018",20,3000,2,10.00%,1800,6,18000
"July 1, 2018",20,3000,6,10.00%,17100,33,162000
"July 1, 2018",20,5000,2,8.00%,2400,6,30000
"July 1, 2018",20,10000,2,6.00%,25200,21,420000
"July 1, 2018",21,10,2,15.00%,216,84,1440
"July 1, 2018",21,10,6,15.00%,1053,456,6600
"July 1, 2018",21,25,2,15.00%,294,30,1950
"July 1, 2018",21,25,6,15.00%,2712,432,16575
"July 1, 2018",21,50,2,15.00%,90,12,600
"July 1, 2018",21,50,6,15.00%,1959,195,13050
"July 1, 2018",21,100,2,15.00%,270,15,1800
"July 1, 2018",21,100,6,15.00%,7920,306,50100
"July 1, 2018",21,250,6,15.00%,6414,108,40500
"July 1, 2018",21,500,6,12.00%,4860,51,36000
"July 1, 2018",21,1000,2,10.00%,600,6,6000
"July 1, 2018",21,1000,6,10.00%,26100,135,231000
"July 1, 2018",21,3000,6,10.00%,27900,39,270000
"July 1, 2018",21,5000,2,8.00%,2400,6,30000
"July 1, 2018",21,10000,2,6.00%,21600,18,360000
"July 1, 2018",22,10,2,15.00%,162,57,1080
"July 1, 2018",22,10,6,15.00%,1332,528,8370
"July 1, 2018",22,25,2,15.00%,495,72,3300
"July 1, 2018",22,25,6,15.00%,2745,447,17025
"July 1, 2018",22,50,6,15.00%,2949,273,19050
"July 1, 2018",22,100,2,15.00%,360,9,2400
"July 1, 2018",22,100,6,15.00%,8100,309,51900
"July 1, 2018",22,250,6,15.00%,8889,162,55500
"July 1, 2018",22,500,2,12.00%,360,6,3000
"July 1, 2018",22,500,6,12.00%,2700,33,22500
"July 1, 2018",22,1000,6,10.00%,35100,135,333000
"July 1, 2018",22,2000,2,10.00%,1200,6,12000
"July 1, 2018",22,3000,6,10.00%,30600,54,297000
"July 1, 2018",22,10000,2,6.00%,18000,15,300000
"July 1, 2018",23,10,2,15.00%,198,72,1320
"July 1, 2018",23,10,6,15.00%,1089,417,6810
"July 1, 2018",23,25,2,15.00%,384,66,2550
"July 1, 2018",23,25,6,15.00%,2634,384,16125
"July 1, 2018",23,50,2,15.00%,225,24,1500
"July 1, 2018",23,50,6,15.00%,2565,207,16800
"July 1, 2018",23,100,2,15.00%,450,12,3000
"July 1, 2018",23,100,6,15.00%,8055,306,49800
"July 1, 2018",23,250,6,15.00%,13839,180,81750
"July 1, 2018",23,500,6,12.00%,3240,42,27000
"July 1, 2018",23,1000,6,10.00%,35100,141,327000
"July 1, 2018",23,3000,2,10.00%,3600,6,36000
"July 1, 2018",23,3000,6,10.00%,28800,42,279000
"July 1, 2018",23,10000,2,6.00%,10800,15,180000
"July 2, 2018",0,10,2,15.00%,27,18,180
"July 2, 2018",0,10,6,15.00%,726,261,4470
"July 2, 2018",0,25,2,15.00%,180,24,1200
"July 2, 2018",0,25,6,15.00%,2238,309,13800
"July 2, 2018",0,50,2,15.00%,45,6,300
"July 2, 2018",0,50,6,15.00%,2184,195,13800
"July 2, 2018",0,100,2,15.00%,90,6,600
"July 2, 2018",0,100,6,15.00%,6570,234,39300
"July 2, 2018",0,250,6,15.00%,10239,138,63000
"July 2, 2018",0,500,6,12.00%,1260,18,10500
"July 2, 2018",0,1000,6,10.00%,25500,108,240000
"July 2, 2018",0,3000,2,10.00%,1800,6,18000
"July 2, 2018",0,3000,6,10.00%,33300,39,324000
"July 2, 2018",0,5000,2,8.00%,2400,6,30000
"July 2, 2018",1,10,2,15.00%,45,18,300
"July 2, 2018",1,10,6,15.00%,366,147,2340
"July 2, 2018",1,25,6,15.00%,957,144,5925
